2020-08-11 15:26:41,319 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration YellowTomatoesSystemApplication for test class YellowTomatoesSystemApplicationTests
2020-08-11 15:26:41,860 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-11 15:26:41,917 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3cfdd820, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@928763c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@e25951c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@15f47664, org.springframework.test.context.support.DirtiesContextTestExecutionListener@471a9022, org.springframework.test.context.transaction.TransactionalTestExecutionListener@dc9876b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2f666ebb, org.springframework.test.context.event.EventPublishingTestExecutionListener@19976a65, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@a1f72f5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4b2c5e02, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@57a3e26a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@75c56eb9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4bc222e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2dc9b0f5]
2020-08-11 15:26:43,815 [main] INFO  [c.s.y.YellowTomatoesSystemApplicationTests] StartupInfoLogger.java:55 - Starting YellowTomatoesSystemApplicationTests on DESKTOP-12K8J29 with PID 83484 (started by shang in C:\Users\shang\IdeaProjects\yellow-tomatoes\yellow-tomatoes-system)
2020-08-11 15:26:43,818 [main] INFO  [c.s.y.YellowTomatoesSystemApplicationTests] SpringApplication.java:655 - The following profiles are active: dev
2020-08-11 15:26:46,069 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - Skipping MapperFactoryBean with name 'sysUserMapper' and 'SysUserMapper' mapperInterface. Bean already defined with the same name!
2020-08-11 15:26:46,071 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[com.scd.yellowtomatoes]' package. Please check your configuration.
2020-08-11 15:26:46,789 [main] INFO  [c.a.d.s.b.a.DruidDataSourceAutoConfigure] DruidDataSourceAutoConfigure.java:56 - Init DruidDataSource
2020-08-11 15:26:47,958 [main] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:930 - {dataSource-1} inited
2020-08-11 15:26:50,389 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-11 15:26:52,024 [main] INFO  [c.s.y.YellowTomatoesSystemApplicationTests] StartupInfoLogger.java:61 - Started YellowTomatoesSystemApplicationTests in 9.964 seconds (JVM running for 15.454)
2020-08-11 15:26:52,976 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-08-11 15:26:53,004 [SpringContextShutdownHook] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:1825 - {dataSource-1} closed
2020-08-11 16:02:48,633 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [YellowTomatoesGeneratorTest], using SpringBootContextLoader
2020-08-11 16:02:48,647 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [YellowTomatoesGeneratorTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-11 16:02:48,648 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [YellowTomatoesGeneratorTest]: YellowTomatoesGeneratorTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-11 16:02:49,009 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration YellowTomatoesSystemApplication for test class YellowTomatoesGeneratorTest
2020-08-11 16:02:49,358 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:248 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-11 16:02:49,446 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@15aab8c6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@33990a0c, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4de4b452, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@50b5ac82, org.springframework.test.context.support.DirtiesContextTestExecutionListener@101952da, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6babf3bf, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3059cbc, org.springframework.test.context.event.EventPublishingTestExecutionListener@7ea9e1e2, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@24fcf36f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@10feca44, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3fb1549b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@ea6147e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4d02f94e, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@2b48a640]
2020-08-11 16:02:50,568 [main] INFO  [c.s.y.YellowTomatoesGeneratorTest] StartupInfoLogger.java:55 - Starting YellowTomatoesGeneratorTest on DESKTOP-12K8J29 with PID 108844 (started by shang in C:\Users\shang\IdeaProjects\yellow-tomatoes\yellow-tomatoes-system)
2020-08-11 16:02:50,587 [main] INFO  [c.s.y.YellowTomatoesGeneratorTest] SpringApplication.java:655 - The following profiles are active: dev
2020-08-11 16:02:52,636 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - Skipping MapperFactoryBean with name 'sysUserMapper' and 'SysUserMapper' mapperInterface. Bean already defined with the same name!
2020-08-11 16:02:52,637 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[com.scd.yellowtomatoes]' package. Please check your configuration.
2020-08-11 16:02:53,588 [main] INFO  [c.a.d.s.b.a.DruidDataSourceAutoConfigure] DruidDataSourceAutoConfigure.java:56 - Init DruidDataSource
2020-08-11 16:02:54,542 [main] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:930 - {dataSource-1} inited
2020-08-11 16:02:56,724 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-11 16:02:58,357 [main] INFO  [c.s.y.YellowTomatoesGeneratorTest] StartupInfoLogger.java:61 - Started YellowTomatoesGeneratorTest in 8.757 seconds (JVM running for 11.263)
2020-08-11 16:02:59,162 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-08-11 16:02:59,184 [SpringContextShutdownHook] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:1825 - {dataSource-1} closed
2020-08-12 10:23:18,017 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [YellowTomatoesGeneratorTest], using SpringBootContextLoader
